vector,title,uom,scalar_factor
page24_oil_gas,Capital expenditures - Oil and gas extraction,Millions of dollars,millions
page24_electricity,Capital expenditures - Electric power,Millions of dollars,millions
page24_other,Capital expenditures - Other energy,Millions of dollars,millions
page24_total,Capital expenditures - Total energy sector,Millions of dollars,millions
page25_fuel_energy_pipelines,"Infrastructure - Fuel, energy and pipelines",Millions of dollars,millions
page25_transport,Infrastructure - Transport (less pipelines),Millions of dollars,millions
page25_health_housing,Infrastructure - Health and housing,Millions of dollars,millions
page25_education,Infrastructure - Education,Millions of dollars,millions
page25_public_safety,Infrastructure - Public safety and other,Millions of dollars,millions
page25_environmental,Infrastructure - Environmental protection,Millions of dollars,millions
page25_total,Infrastructure - Total net stock,Millions of dollars,millions
page26_jobs,Economic contributions - Jobs (direct + indirect),Number,units
page26_employment_income,Economic contributions - Employment income,Millions of dollars,millions
page26_gdp,Economic contributions - GDP,Millions of dollars,millions
page26_investment_value,"Annual investment - Fuel, energy and pipelines",Millions of dollars,millions
page27_transmission_distribution,"Investment - Transmission, distribution and transformers",Millions of dollars,millions
page27_pipelines,Investment - Pipelines,Millions of dollars,millions
page27_nuclear,Investment - Nuclear production plants,Millions of dollars,millions
page27_other_electric,Investment - Other electric power construction,Millions of dollars,millions
page27_hydraulic,Investment - Hydraulic production plants,Millions of dollars,millions
page27_wind_solar,Investment - Wind and solar power plants,Millions of dollars,millions
page27_steam_thermal,Investment - Steam production plants,Millions of dollars,millions
page27_total,"Investment - Total fuel, energy and pipeline",Millions of dollars,millions
page31_cdia,Canadian direct investment abroad (CDIA) - Energy industry,Millions of dollars,millions
page31_fdi,Foreign direct investment in Canada (FDI) - Energy industry,Millions of dollars,millions
page32_utilities,Utilities - Percentage of total assets under foreign control,Percent,units
page32_oil_gas,Oil and gas extraction and support activities - Percentage of total assets under foreign control,Percent,units
page32_all_non_financial,Total non-financial industries - Percentage of total assets under foreign control,Percent,units
page37_oil_gas_total,Oil and gas extraction - Total environmental protection expenditures,Millions of dollars,millions
page37_oil_gas_wastewater,Oil and gas extraction - Wastewater management,Millions of dollars,millions
page37_oil_gas_soil,"Oil and gas extraction - Protection and remediation of soil, groundwater and surface water",Millions of dollars,millions
page37_oil_gas_air,Oil and gas extraction - Air pollution management,Millions of dollars,millions
page37_oil_gas_solid_waste,Oil and gas extraction - Solid waste management,Millions of dollars,millions
page37_oil_gas_other,Oil and gas extraction - Other environmental protection activities,Millions of dollars,millions
page37_electric_total,Electric power generation - Total environmental protection expenditures,Millions of dollars,millions
page37_natural_gas_total,Natural gas distribution - Total environmental protection expenditures,Millions of dollars,millions
page37_petroleum_total,Petroleum and coal product manufacturing - Total environmental protection expenditures,Millions of dollars,millions
page37_petroleum_pollution,Petroleum and coal product manufacturing - Pollution abatement and control,Millions of dollars,millions
page37_all_industries_total,Total industries - Total environmental protection expenditures,Millions of dollars,millions
